CODIGO_CARRERA,AVERAGE_CIEN,AVERAGE_M1,AVERAGE_M2,AVERAGE_HCS
32061,25,28,9,29
32120,24,27,10,19
32130,24,25,10,21
32131,29,30,10,24
32132,34,32,12,27
32133,24,27,0,20
32135,24,26,6,23
32136,30,30,12,23
32145,22,27,15,30
32146,26,29,10,30
32150,29,32,13,28
32160,29,32,11,37
32161,32,31,7,32
32162,30,31,10,31
32163,24,27,11,27
32164,26,28,10,30
32165,24,27,10,28
33005,37,43,16,33
33009,27,33,13,30
33023,30,31,12,25
33024,23,24,11,20
33025,31,29,14,35
33027,22,30,9,24
33030,28,33,9,29
33031,37,46,24,41
33032,25,24,11,23
33033,25,37,13,31
33035,23,26,9,23
33036,29,28,10,28
33053,57,54,24,42
33060,35,35,14,27
33061,29,36,12,24
33066,26,32,9,25
33070,28,33,12,25
33072,26,28,10,23
33078,34,35,15,36
33079,25,28,13,24
33080,26,26,9,24
33081,29,28,0,28
33082,20,26,7,31
33083,31,26,6,27
33412,21,24,0,22
34003,32,35,14,28
34006,35,43,16,28
34007,35,41,15,28
34011,27,37,12,26
34018,31,39,14,32
34019,30,35,12,26
34020,61,56,29,42
34021,41,42,14,31
34022,41,43,13,30
34023,50,49,19,32
34024,32,37,13,28
34025,29,29,12,23
34026,39,39,13,25
34027,32,34,12,24
34028,23,25,8,20
34029,28,26,12,26
34030,32,35,13,27
34037,29,36,13,25
34038,35,41,15,28
34039,35,40,16,25
34041,36,40,12,36
34042,0,20,0,37
34048,29,29,13,27
34049,32,40,15,41
34051,31,38,14,43
34052,30,37,14,45
34055,32,38,12,30
34060,33,40,12,33
34062,32,37,12,30
34068,31,38,13,25
34069,0,18,0,35
34078,33,40,15,26
34079,34,38,14,26
34084,29,40,15,23
34085,30,30,10,20
34086,41,40,14,31
34087,34,32,2,31
34088,26,32,11,38
34101,30,33,11,28
35001,33,36,13,24
35002,38,38,13,26
35004,32,37,11,34
35005,62,57,30,41
35006,30,32,11,24
35007,28,30,10,25
35011,26,30,11,25
35013,28,25,0,28
35016,33,34,9,25
35017,29,40,13,23
35018,31,32,12,29
35019,28,32,11,31
35020,27,28,9,23
35023,30,29,11,30
35029,27,32,11,23
35033,38,36,13,25
35040,34,42,16,27
35041,27,35,11,24
35052,28,29,10,27
35055,27,29,13,30
35056,25,33,10,27
35057,37,44,16,27
35058,34,41,15,25
35059,28,33,11,28
35060,26,31,7,23
35061,26,31,9,26
35062,30,33,12,38
35064,26,29,8,30
35065,33,36,13,23
35066,25,28,10,28
35068,39,38,13,29
35069,39,47,17,33
35071,44,44,15,32
35072,34,37,13,28
35073,26,29,9,23
35074,27,32,9,24
35075,29,36,12,30
35076,24,27,8,21
35077,23,28,9,23
35078,36,37,13,28
35079,39,40,14,29
35080,27,29,11,27
35081,34,34,13,29
35082,48,47,17,34
35083,25,29,9,24
35084,30,33,12,24
35085,34,45,17,26
35086,22,24,10,22
35087,32,32,12,34
35088,26,30,9,38
35089,25,32,11,28
35090,34,35,11,27
35091,23,27,9,24
36001,32,34,12,40
36002,33,33,12,31
36009,25,26,11,22
36010,27,29,12,27
36011,28,29,11,31
36012,27,33,11,26
36016,26,31,11,24
36020,63,58,30,42
36021,33,35,12,30
36029,28,33,12,23
36030,32,40,14,28
36031,32,39,14,26
36050,24,27,11,25
36051,28,30,10,22
36052,27,29,12,28
36053,28,28,13,29
36055,21,30,11,30
36056,25,27,11,25
36057,30,29,10,24
36058,29,30,9,24
36061,22,23,9,32
36063,32,35,12,26
36064,33,35,12,25
36065,32,42,14,27
36066,26,30,11,23
36067,29,35,13,24
36077,31,32,12,33
36078,38,39,14,28
36079,26,31,12,29
36080,34,36,11,34
37001,26,31,13,38
37004,24,25,9,24
37005,26,29,11,32
37011,32,31,10,26
37013,26,28,10,22
37014,25,27,10,25
37018,32,37,13,27
37019,30,35,11,25
37020,28,32,11,25
37022,26,28,9,23
37023,23,24,9,21
37026,26,28,10,28
37027,26,28,13,26
37029,31,35,12,28
37035,26,29,11,31
37040,28,32,11,36
37041,27,33,12,43
37042,25,29,7,31
37046,23,26,9,28
37047,24,28,8,34
37048,24,25,10,20
37050,26,29,10,27
37054,27,33,11,24
37055,26,32,11,25
37056,27,34,12,24
37058,27,31,11,24
37061,30,31,11,30
37062,27,30,11,31
37064,26,27,10,22
37065,25,25,9,21
37066,25,26,10,24
37067,27,27,10,21
37068,35,34,11,29
37069,30,33,12,26
37090,25,27,10,23
37091,28,30,13,31
37092,31,37,12,31
37095,32,32,11,29
37096,26,22,13,22
37097,23,29,11,23
37098,27,31,11,23
37099,40,39,14,32
37100,24,28,10,29
37101,30,27,13,26
37102,66,57,28,43
38003,31,39,14,32
38004,41,44,17,49
38005,48,47,19,47
38006,29,36,13,29
38009,29,33,14,38
38013,30,34,13,35
38015,35,36,15,35
38032,30,34,13,40
38080,34,40,14,29
38083,34,41,14,36
38162,30,31,7,36
38163,37,31,9,39
38164,26,26,6,42
38166,33,32,15,36
38167,25,31,13,26
38168,23,27,9,24
38170,67,58,35,39
38171,46,45,15,31
38172,45,44,14,34
38173,44,43,15,36
38174,36,44,16,31
38175,40,47,18,31
38176,32,38,14,25
38285,30,32,12,31
38292,29,37,13,30
38323,48,48,16,32
38325,36,39,14,27
38326,28,28,11,28
38327,31,33,12,32
38336,29,33,12,36
38337,30,29,10,36
38338,27,32,11,27
38339,31,33,13,34
39101,28,32,12,25
39102,43,40,14,37
39103,29,33,12,28
39104,39,38,13,29
39105,32,32,11,34
39106,25,29,11,22
39107,30,32,11,39
39108,29,30,11,26
39109,42,42,14,32
39110,26,27,9,23
39111,34,39,14,30
39112,36,43,15,31
39113,30,35,12,27
39114,29,34,11,28
39115,27,28,11,25
39116,26,31,10,36
39117,34,37,12,31
39118,70,58,34,51
39119,37,37,12,29
39120,30,31,10,26
39121,45,44,15,41
39122,45,45,16,32
39124,27,29,8,28
39125,33,35,12,30
39126,27,30,10,26
39129,37,37,15,39
39131,33,28,14,32
39132,42,39,14,31
39133,29,29,11,28
39134,40,41,15,34
39135,53,49,21,36
39140,25,26,10,24
39142,23,28,11,32
39398,51,37,0,33
39401,33,37,13,32
39402,25,28,10,24
39403,29,29,9,35
39405,37,37,12,27
39406,26,26,11,23
39408,31,40,13,25
39409,26,35,12,30
39410,32,34,12,24
39411,68,58,30,47
39412,35,36,15,33
39413,29,28,12,22
39414,40,41,15,35
39415,36,37,13,32
39419,32,33,11,33
39420,40,40,16,31
39421,27,26,7,24
39422,51,48,20,36
39423,30,36,12,37
39424,26,27,12,24
39425,29,30,12,26
40001,31,34,12,28
40002,26,29,10,28
40010,28,29,14,29
40020,23,28,10,34
40021,28,30,10,32
40022,23,25,10,26
40023,26,27,11,25
40030,27,29,11,36
40040,28,32,11,26
40041,28,30,9,26
40042,26,33,13,30
40043,37,41,15,36
40050,25,27,10,23
40051,22,27,7,23
40053,22,27,12,25
40061,31,36,13,25
40062,29,34,11,25
40063,32,34,13,27
40070,70,59,33,41
40071,37,39,13,28
40072,30,31,11,27
40073,37,38,13,29
40074,32,34,11,36
40080,43,44,16,33
40090,23,32,0,33
